trans_id,account_id,date,balance,credits_mean,withdrawal_mean
706193,2419,1995-01-29,72500.4,18972.2875,13774.91304347826
716883,2456,1996-04-14,47431.4,12752.429411764706,9459.164705882353
726867,2486,1993-12-31,78656.2,20344.677419354837,12573.236363636363
730332,2496,1996-01-11,23825.4,3959.488,2654.9848484848485
753880,2572,1996-06-09,64765.2,18340.457894736843,12175.105555555556
3615809,2580,1996-07-31,41537.2,6166.780000000001,3408.875
790149,2694,1994-03-03,33061.9,8784.244444444445,4746.8093023255815
794212,2705,1993-12-02,34716.3,7084.7,7185.714285714285
810173,2762,1994-07-02,52318.9,19164.74909090909,10139.294623655915
829383,2824,1994-07-10,41531.0,8327.073684210525,4861.808333333333
854397,2912,1996-02-21,24549.6,18684.478723404256,14154.996551724138
861581,2933,1994-05-14,30009.9,13755.75294117647,8028.92
869703,2962,1994-12-20,53922.3,16817.427450980394,11304.511475409836
878961,2994,1996-09-12,62891.3,10108.300000000001,16100.0
886457,3021,1996-12-03,24447.1,9343.175,8931.7
891116,3037,1996-04-15,11614.0,13759.673913043478,8764.557142857142
895016,3050,1994-08-31,64286.0,20655.870588235295,6799.959036144578
898987,3064,1995-03-19,31867.2,4776.766037735849,2258.1755102040815
905014,3084,1996-08-25,13318.4,12261.32142857143,9143.076923076924
912767,3112,1996-02-22,77580.8,16989.977083333335,9200.227848101265
914076,3115,1996-11-08,51906.5,16276.9,11751.988888888889
929184,3166,1995-01-02,14230.7,9073.402777777777,4242.307272727273
934562,3189,1996-12-10,59578.8,13417.557142857142,10109.586666666666
947919,3230,1996-10-01,22446.0,15884.205555555556,13385.420512820514
983262,3354,1994-07-03,22500.3,5352.515789473684,2933.2370370370368
3645480,3489,1995-07-31,44383.2,7533.605882352941,5580.1866666666665
1055088,3608,1996-05-21,29371.5,8837.951923076924,5019.013333333333
1062027,3629,1995-05-27,19182.3,7197.82909090909,3196.379245283019
1075443,3674,1994-09-03,64096.3,11783.88163265306,8359.759322033899
1076824,3678,1995-01-31,12811.8,4591.911666666667,3325.351898734177
1077163,3679,1996-07-19,41743.9,8397.544444444446,4999.718918918919
3654099,3747,1994-12-31,23171.2,4596.96,2751.296
3654348,3752,1995-03-31,43265.7,8607.3,8550.0
3654444,3754,1996-10-31,23759.8,14909.758823529412,5163.625
1113452,3804,1996-02-07,49709.2,16674.810416666667,6036.8592592592595
1122465,3834,1994-09-15,28531.7,6742.349999999999,2399.1951219512193
1191655,4079,1995-03-31,18879.4,13041.75,5442.90947368421
1192503,4081,1995-11-19,35159.7,6195.533333333334,6866.666666666667
1244889,4259,1994-08-13,89746.5,24446.25,25786.0
1245511,4260,1994-06-20,21326.1,12456.16111111111,8543.39
3663872,4337,1994-11-30,49213.4,14636.95806451613,11671.509677419355
3664327,4413,1995-01-31,31344.7,17512.224,8794.0
1291557,4414,1995-02-17,19479.6,5482.85238095238,3011.4314285714286
1294978,4423,1995-10-26,67453.1,13746.65,25000.0
1296327,4427,1994-09-25,15665.6,4840.648780487805,4251.186046511628
1302173,4447,1996-10-15,36199.1,16504.253846153846,13635.766666666668
3664832,4448,1994-09-30,29033.7,9241.760606060607,6237.076923076923
3450498,4462,1996-04-30,34891.2,12213.028571428571,16866.666666666668
1310850,4476,1996-09-19,17351.9,7555.3234042553195,2768.427868852459
1319108,4503,1995-12-31,54868.9,18854.3875,12173.821621621622
1339627,4576,1994-05-31,33932.8,9277.392592592592,4921.745454545454
1340983,4580,1995-07-31,31303.3,11452.434782608696,8289.378571428571
1341973,4585,1996-10-07,44749.0,6738.766666666666,5300.0
1362963,4650,1996-08-14,17232.1,3118.0344827586205,2927.64
1387114,4727,1995-08-05,65325.4,19481.75833333333,15314.145454545454
1401656,4774,1995-07-08,37152.4,12116.376315789474,6511.843076923076
1415035,4825,1995-08-16,24782.0,5691.885294117647,2988.0526315789475
1423943,4851,1996-08-18,123310.1,13177.707692307693,16520.0
1424434,4852,1996-02-29,27326.7,4581.6407407407405,3011.8
3667567,4894,1993-10-31,53193.5,13154.833333333334,16300.0
1441221,4907,1995-12-31,27169.8,8028.005999999999,2946.6960629921264
1450536,4937,1994-07-15,38336.2,14003.602127659575,5998.9277108433735
1453571,4948,1996-11-10,39959.4,8558.235999999999,6809.018181818182
1463062,4981,1996-11-17,36074.7,11922.27619047619,6912.677419354839
3668173,4994,1996-07-31,53892.1,8032.675,10625.0
3444445,4995,1996-01-31,9710.2,8997.414285714285,5534.093181818182
1468396,5001,1996-11-02,106858.1,20541.95945945946,14384.248780487804
1476703,5033,1996-07-18,27820.2,3711.3310344827587,1662.6708333333333
1486570,5066,1996-02-02,59695.5,13988.388888888889,22066.666666666668
1501949,5120,1994-07-31,69179.8,13879.189285714285,9729.104
1503514,5126,1996-01-08,21281.5,4421.572727272727,2922.8076923076924
1530436,5213,1996-04-17,46462.2,17416.52608695652,12718.491666666667
1531518,5215,1994-07-31,34902.8,7799.868965517242,2620.457534246575
1534918,5228,1994-07-05,94431.9,26907.226923076923,12873.809523809523
1544618,5256,1994-05-04,80780.0,14309.0,22822.222222222223
1546850,5263,1996-11-11,27578.1,3480.195555555555,2745.331914893617
1548832,5270,1993-11-16,103745.7,23558.29090909091,12885.271428571428
1563241,5313,1994-02-23,33918.9,14927.625,7615.926829268293
1583926,5385,1994-03-31,23538.3,7546.752173913043,4615.75
1596222,5422,1996-05-31,105712.4,19070.65344827586,7715.7282051282045
1598776,5428,1993-09-21,58140.9,13374.85,10260.271428571428
1603028,5442,1994-06-15,6930.8,11542.828947368422,5007.2256410256405
1614329,5481,1994-09-10,44254.7,19731.792307692307,10984.652631578947
1633766,5541,1996-07-17,18800.0,4044.684615384616,2043.2735294117647
1644113,5574,1996-04-08,80439.7,25106.972093023258,9460.747252747253
1650328,5593,1996-08-08,68241.5,18505.683333333334,11914.9875
1657595,5622,1994-10-31,93605.6,20124.31791044776,9983.023333333334
1659319,5628,1995-04-13,32403.4,7056.204545454545,4235.620689655172
1660666,5632,1995-07-13,28194.4,11216.012499999999,7887.777777777777
1666172,5650,1995-07-07,43871.9,12494.761538461538,9120.0
1681598,5700,1995-03-12,36427.6,5169.697727272727,3034.4461538461537
1692152,5735,1996-02-19,11574.8,17131.333333333332,12742.021153846154
1694750,5742,1995-12-14,41243.5,14073.042857142858,12454.545454545454
1703230,5774,1995-11-17,50647.1,10761.475,7135.509090909091
3673078,5794,1996-04-30,15520.2,11561.24,6322.303703703704
1736695,5891,1994-04-16,67995.4,17495.916666666668,8444.708333333334
3682269,5927,1994-05-31,21579.1,3691.82380952381,4793.563636363636
1754255,5952,1994-09-22,45871.6,18498.09259259259,5547.639999999999
3673871,5991,1994-10-31,33539.9,8584.58695652174,3998.0536585365858
3673997,6030,1995-02-28,33743.7,10476.673684210526,6506.864285714285
1779314,6034,1993-11-30,121570.3,16035.558064516128,10339.642857142857
1781707,6040,1994-10-01,26984.4,11518.78888888889,3996.822680412371
1784361,6051,1994-07-07,19783.2,3712.366666666667,3270.9857142857145
1804227,6118,1995-01-01,50996.5,13666.85,12250.277777777777
3674586,6148,1994-10-31,41147.7,11115.263636363636,6356.33125
1838597,6226,1994-12-18,59316.9,21806.935294117648,13001.176470588236
3675351,6273,1994-05-31,29072.5,8544.575,7656.092307692307
1857743,6289,1996-08-10,117238.7,18351.10263157895,12868.391304347826
1876276,6353,1995-02-10,31271.6,13163.365517241378,5310.090909090909
1877886,6358,1996-08-05,57835.1,17764.690625,9072.12
1879551,6363,1994-10-21,48027.0,6398.487096774194,3666.487804878049
1889996,6397,1996-09-06,42526.0,9716.021621621621,5527.250980392157
1891229,6400,1996-02-06,36363.9,12129.322222222221,18200.0
1897674,6425,1994-12-19,35093.0,6311.736,3739.9146666666666
1899814,6434,1996-11-08,40746.5,13368.28275862069,10203.929411764706
1910670,6472,1995-02-03,31349.9,19429.61153846154,10380.42
1911164,6473,1994-05-21,14888.6,15876.135714285712,10566.830769230768
1935834,6555,1994-03-30,64221.1,13977.941935483872,9280.27027027027
1951096,6609,1995-11-10,132316.8,18483.85769230769,13468.220689655172
1974062,6688,1996-10-12,38831.0,4243.1,3600.0
3677731,6701,1993-11-30,27697.0,11706.59090909091,8873.04347826087
1982398,6715,1995-01-10,19966.8,7317.181578947369,4543.863636363636
1988974,6738,1995-10-21,46113.5,9919.53870967742,5415.023255813953
3678893,6924,1995-11-30,31021.6,12922.227027027027,5316.822535211268
2044629,6930,1994-05-12,69398.9,12249.336842105264,9074.355555555556
2061213,6985,1996-07-21,37396.4,16277.060714285715,11282.533333333333
2102778,7123,1993-12-05,58773.2,13031.063636363637,11706.526315789473
3680384,7133,1994-10-31,23124.6,2590.1029411764707,1031.0063492063493
2108136,7136,1996-09-10,25658.0,14442.828205128206,6477.253012048192
3680695,7184,1996-07-31,40509.2,12015.777777777777,3640.146153846154
3680744,7190,1995-05-31,25649.6,4125.163265306122,2521.3942857142856
2243071,7401,1993-12-31,28749.1,10395.177272727273,5245.434482758621
2247076,7418,1996-04-11,24930.3,4202.679310344827,5953.65
2256531,7445,1994-03-13,12414.4,9204.863829787233,6775.538461538462
2259220,7454,1994-05-14,28553.5,2763.92,1450.7191489361703
2267843,7485,1994-03-13,32715.3,10908.277777777777,7842.55
3454717,7523,1994-12-31,48840.6,6845.75,15666.666666666666
2288179,7546,1995-10-31,24672.8,10373.63870967742,3724.657142857143
2292588,7562,1995-12-23,35488.1,21228.227272727272,12592.90322580645
2304721,7606,1995-12-11,78521.0,16177.397142857144,8832.8
2305452,7607,1995-03-18,32802.7,7781.153658536585,3766.1105263157897
2307923,7614,1996-05-08,69148.6,21503.09,9700.938775510203
2350096,7753,1994-03-05,38202.2,16546.952272727274,11529.212
2354062,7765,1995-12-07,18380.5,9539.813333333334,5354.418604651163
2355508,7769,1994-05-14,86857.4,14476.62,7286.375
2364125,7795,1996-10-26,46580.5,18717.614084507044,12748.263736263736
2370241,7815,1995-12-31,88632.1,18658.64,7796.285714285715
2371787,7819,1995-01-31,17872.5,4204.593617021276,1728.301923076923
2378858,7844,1994-06-24,49842.9,18390.37142857143,12844.1
2382944,7857,1995-01-15,39416.1,20195.84054054054,5693.433663366337
2383460,7859,1996-11-15,98631.7,19563.4225,10493.431034482759
2384092,7861,1995-10-05,42899.4,8711.658333333333,10273.433333333332
2402545,7926,1996-09-20,63952.9,14356.908333333333,15475.714285714286
2414869,7965,1994-09-23,82549.0,13133.975,8187.745454545454
2434938,8027,1994-06-02,30825.8,18776.677272727273,9481.212121212122
2438457,8039,1996-10-14,26235.8,10912.823809523808,5968.629411764706
2439239,8041,1994-11-04,28271.8,11883.849999999999,10137.95652173913
3495786,8051,1994-05-31,44213.1,12819.854545454546,7055.0
2448817,8073,1994-02-14,15673.6,15663.035294117646,7823.666666666667
2454047,8092,1996-02-12,15407.2,4958.146428571429,3085.52
2464177,8127,1996-07-07,44564.6,17472.988235294117,9333.898795180723
2465029,8129,1994-07-21,33243.7,11194.334615384616,6288.019512195122
2473013,8159,1995-06-08,37920.3,6735.577777777778,7566.666666666667
2477186,8173,1994-05-05,89342.6,20306.622727272726,11824.035714285714
2502191,8260,1994-08-16,40287.4,20475.04411764706,11705.503999999999
2502923,8261,1993-09-09,43847.8,7331.9857142857145,19600.0
2520405,8316,1995-03-07,16218.7,8822.476666666666,9451.634782608697
2522125,8321,1994-05-07,29305.8,3735.122727272727,3140.4511627906977
2523651,8327,1996-03-09,52551.7,14307.730434782608,10304.76
2525137,8330,1994-03-23,36353.1,7746.088888888889,5389.026666666667
3499515,8377,1995-05-31,80621.0,10538.953658536584,10639.951515151515
2546649,8405,1995-10-12,38159.6,7942.118867924528,4206.287912087912
3499954,8411,1996-04-30,26332.6,7748.148148148148,5318.052054794521
2567157,8475,1994-01-06,33467.0,3012.853846153846,4150.0
2571841,8489,1995-06-10,35289.8,6441.2328125,4487.483333333333
3500881,8492,1995-08-31,39220.2,3868.0851063829787,2906.795918367347
2579314,8519,1994-08-06,28933.3,13496.94693877551,9993.342372881356
2583252,8533,1996-09-13,54140.4,12971.792105263157,14154.438709677419
2586359,8547,1996-05-26,113931.6,14459.529787234043,13224.761904761905
3501603,8558,1994-05-31,43313.2,8081.3,10600.0
2592264,8564,1995-03-08,27191.2,13581.835849056604,7331.448780487805
2593287,8566,1994-09-07,6325.5,7839.626315789474,6386.692857142856
2611020,8625,1995-04-04,62458.3,15647.294736842105,12171.481927710844
2625936,8680,1996-07-11,52416.9,5781.133333333333,12550.0
2653702,8776,1995-08-19,44465.4,5087.997222222222,4079.4764705882358
2688622,8899,1995-12-12,19007.0,10958.024561403508,7628.370967741936
2712433,8972,1996-12-17,38384.3,8544.93,6974.431578947369
2715758,8982,1994-10-09,53716.6,8119.228888888889,8290.572222222221
2722044,9006,1996-05-31,21003.8,13975.69512195122,9585.5
2726239,9017,1996-03-21,31387.1,4005.8066666666664,9566.666666666666
2727928,9024,1996-10-01,22476.1,5128.586206896552,5260.541666666667
2729876,9030,1996-12-11,60694.1,6448.582857142857,3830.458823529412
2730517,9034,1993-12-14,56840.8,8067.861111111111,8946.26
3507655,9093,1994-07-31,24471.4,6502.74761904762,4142.723333333333
3507852,9104,1994-07-31,58224.0,10713.956,12347.4
2776052,9188,1993-07-21,20272.8,5009.733333333334,6097.0
2779593,9199,1996-09-06,43790.6,7487.844444444445,11800.0
2789581,9236,1993-12-16,37253.1,4879.433333333333,7100.0
2797966,9265,1994-07-05,23901.1,9203.384905660378,7481.906451612904
2810483,9307,1994-09-16,39204.7,7938.838095238095,5228.3421052631575
3682696,9337,1994-05-31,58659.8,6244.838461538462,4819.820689655172
2841406,9403,1994-08-04,52014.4,13123.877777777778,6544.464285714285
2847207,9422,1996-10-28,43157.5,23035.90625,11121.490909090908
2862337,9472,1995-05-06,45480.6,16954.94107142857,8908.227722772277
2868757,9493,1995-09-06,23579.7,10950.116666666667,10188.228571428572
2873692,9510,1996-11-10,53707.9,7594.046153846154,6430.657142857142
2885336,9548,1996-11-12,38725.1,8385.281818181818,8918.833333333334
2893270,9583,1995-12-11,30115.3,13282.386,10287.0
2895632,9591,1995-04-10,21801.2,16041.951388888889,9343.040776699028
2906638,9627,1995-11-19,86194.1,20764.9109375,15901.315789473685
2910628,9640,1995-01-10,12262.9,8867.943859649122,5037.919101123595
3513316,9645,1996-05-31,53592.6,15688.077777777778,21900.0
2915579,9656,1995-06-07,36472.9,18070.40597014925,11909.255172413792
2938330,9731,1995-11-10,34054.0,9973.764000000001,3972.0
2944476,9750,1995-02-10,26488.7,8910.703571428572,5413.580952380952
2956375,9790,1996-07-14,34729.5,17825.64347826087,6082.945098039216
2963701,9814,1996-09-25,3609.3,7330.079761904762,8958.983050847457
2967495,9828,1995-04-10,48720.6,17293.55652173913,8519.767567567567
2969315,9833,1994-05-20,41330.1,25763.21,10047.651162790698
2979437,9869,1995-03-14,47992.1,11490.66,5210.562025316456
2989088,9897,1995-09-17,29138.1,9289.213333333335,5355.96
3516226,9928,1996-07-31,42242.2,6167.025,3379.7083333333335
3018031,10001,1996-07-06,50167.6,8717.206896551725,5065.785
3021567,10019,1996-09-14,34212.3,15618.807894736841,10303.369230769229
3039863,10079,1994-04-01,39310.2,17751.066666666666,11363.860465116279
3043883,10093,1995-10-10,47174.7,20382.055882352943,6483.951807228916
3047911,10105,1994-08-21,41917.2,16312.041025641025,10615.56170212766
3457504,10131,1994-04-30,30662.8,6116.29,6100.0
3094693,10266,1993-12-17,41954.8,11677.0,16650.0
3104304,10297,1996-11-14,31168.0,10392.413636363637,7052.321428571428
3110429,10320,1993-12-10,67219.5,14443.35,11030.57142857143
3122935,10364,1993-11-07,49083.3,7551.738095238095,4562.625
3136947,10411,1996-12-09,8357.1,7693.968000000001,4599.8
3144373,10436,1996-09-18,36208.8,4458.814285714286,2912.733333333333
3145337,10439,1994-06-01,21323.2,19058.40769230769,15142.109090909093
3145993,10440,1995-06-30,16878.6,3840.34375,1881.5528089887641
3149252,10451,1994-12-13,18439.4,4877.926785714286,3442.2243243243242
3170278,10520,1996-12-03,58638.6,8001.857142857143,8415.384615384615
3202758,10630,1995-06-14,44644.2,7095.2,8540.6
3213323,10663,1995-10-14,69850.9,22177.26170212766,8141.078095238095
3232530,10728,1996-03-17,37180.5,9834.021875,4664.452830188679
3235690,10738,1994-12-10,17711.5,8683.641304347826,4245.818181818182
3242324,10762,1996-09-12,51540.7,9718.266666666666,6265.434482758621
3249189,10788,1994-08-19,54427.5,4701.254545454546,9800.0
3276280,10884,1996-02-10,13386.8,9068.926923076924,4689.306976744187
3284469,10911,1994-07-23,31361.3,11868.186206896553,5803.584905660377
3292328,10940,1994-02-16,43294.5,12363.145454545454,18540.0
3293149,10942,1995-09-30,50487.0,18056.9125,12927.138888888889
3299514,10963,1996-12-18,41878.1,16554.986274509803,10667.396969696969
3302716,10973,1993-10-08,53402.7,11408.9875,7287.142857142857
3315042,11013,1993-08-31,41112.9,21255.930769230767,16801.0
3318009,11021,1995-03-03,24304.3,12442.474324324325,10597.023076923077
3324540,11042,1995-11-30,42279.3,18197.285714285714,9542.533333333333
3327474,11054,1996-08-18,15278.6,8064.787499999999,6498.428571428572
3331656,11065,1994-06-10,38665.0,6597.1322580645165,3528.6382978723404
3344812,11111,1994-01-18,21921.3,16822.82608695652,11406.3625
3527947,11135,1994-02-28,45660.9,7666.089999999999,10333.333333333334
3353948,11138,1996-01-15,39079.5,16579.96153846154,11028.75
3369408,11186,1996-09-30,53245.1,20602.67391304348,8816.395454545454
3394155,11265,1993-09-11,21029.0,4304.038095238096,3152.5363636363636
3419993,11349,1995-10-23,24704.4,21108.227272727272,29640.85714285714
3423217,11359,1996-07-31,25682.6,14509.60888888889,6094.918811881189
3424020,11362,1996-12-10,24199.5,8811.758620689656,2965.9153846153845
