,client_id,district_id,sex,birth_date
118,127,21,0,1950-12-27
119,128,63,0,1973-04-04
120,129,64,0,1947-05-31
121,130,53,1,1942-02-14
122,131,53,0,1977-01-31
123,132,36,1,1953-01-26
124,134,6,1,1932-01-18
125,135,6,0,1938-09-10
126,136,55,0,1921-01-26
127,137,60,1,1923-09-14
128,138,54,0,1972-10-21
129,139,8,0,1959-07-25
130,140,8,1,1961-06-06
131,141,31,1,1925-11-02
132,142,68,1,1937-06-21
133,143,27,1,1978-07-09
134,144,65,1,1958-12-06
135,145,55,1,1978-02-14
136,146,31,0,1961-12-19
137,147,21,0,1933-11-02
138,148,21,1,1940-12-25
139,149,55,1,1948-06-27
140,150,2,0,1980-09-27
141,151,51,0,1971-09-23
142,152,29,0,1945-12-02
143,153,13,0,1981-02-12
144,154,74,1,1933-08-27
145,155,74,0,1939-03-13
146,156,54,0,1930-07-22
147,157,52,0,1943-07-09
148,158,40,0,1945-07-03
149,159,40,1,1938-09-10
150,160,64,0,1942-04-26
151,161,34,0,1943-10-07
152,162,65,1,1941-10-17
153,163,74,1,1933-06-12
154,164,70,0,1962-04-04
155,165,22,1,1968-11-08
156,166,22,0,1961-10-22
157,167,38,0,1978-04-18
158,168,24,0,1976-11-05
159,169,38,1,1953-09-12
160,170,38,0,1946-06-16
161,171,51,1,1929-06-25
162,172,51,0,1935-10-05
163,173,21,0,1918-12-08
164,174,10,1,1978-11-10
165,175,31,1,1960-07-13
166,176,4,1,1929-03-11
167,178,8,1,1960-12-22
168,179,43,1,1980-12-29
169,180,73,1,1982-01-19
170,181,76,1,1967-07-06
171,182,76,0,1959-07-13
172,183,1,0,1978-03-19
173,184,1,1,1972-06-05
174,185,77,1,1954-05-30
175,186,46,0,1961-02-22
176,187,58,1,1942-08-23
177,188,64,1,1960-09-02
178,189,11,1,1919-08-10
179,190,37,0,1947-10-31
180,191,37,1,1954-09-03
181,192,70,1,1971-02-28
182,193,1,1,1962-05-01
183,194,28,0,1924-12-20
184,195,74,1,1919-11-18
185,196,74,0,1927-06-25
186,197,30,1,1933-04-25
187,198,60,1,1976-07-14
188,199,29,1,1923-06-21
189,200,29,0,1928-01-13
190,201,17,0,1930-08-19
191,202,29,0,1976-11-21
192,203,31,1,1962-06-10
193,204,31,0,1967-06-17
194,205,4,0,1942-06-15
195,206,59,0,1963-04-13
196,207,46,1,1932-05-20
197,208,13,0,1940-06-25
198,209,13,1,1935-08-20
199,210,66,1,1939-11-30
200,211,66,0,1945-06-28
201,212,52,1,1975-02-10
202,215,71,1,1967-09-24
203,216,1,1,1960-01-30
204,217,59,0,1974-12-22
205,218,1,0,1980-01-23
206,219,60,0,1964-04-02
207,221,21,0,1977-02-25
208,222,47,0,1972-06-29
209,223,43,0,1952-02-27
210,224,77,1,1955-05-11
211,225,32,1,1936-05-10
212,226,1,1,1942-06-16
213,227,52,0,1926-12-18
214,228,48,0,1956-03-16
215,229,76,1,1969-07-22
216,230,74,0,1967-03-10
217,231,41,1,1941-02-18
218,232,55,0,1921-06-17
219,233,69,0,1958-12-03
220,234,69,1,1955-06-21
221,235,44,0,1943-08-28
222,236,70,1,1961-09-01
223,237,70,0,1969-02-22
224,238,6,0,1961-11-28
225,239,1,0,1974-09-10
226,240,34,0,1929-06-17
227,241,70,1,1959-01-23
228,242,17,0,1961-08-01
229,243,63,1,1954-02-10
230,246,67,0,1970-12-28
231,247,1,1,1957-05-08
232,248,61,0,1969-12-12
233,249,61,1,1970-05-05
234,250,8,0,1979-11-25
235,251,54,0,1976-03-03
236,252,37,0,1969-09-01
237,253,48,0,1947-05-12
238,254,28,1,1963-05-30
239,255,27,0,1951-10-11
240,256,73,0,1963-02-27
241,257,22,0,1942-11-04
242,258,22,1,1937-05-31
243,259,31,1,1966-06-08
244,260,31,0,1962-02-24
245,261,38,0,1937-12-07
246,262,77,1,1945-11-25
247,263,68,1,1962-05-20
248,264,28,1,1978-08-22
249,265,72,0,1933-01-07
250,266,19,0,1967-08-28
251,267,37,1,1967-06-12
252,268,39,0,1982-05-02
253,269,15,0,1923-12-03
254,270,46,1,1947-03-08
255,271,46,0,1945-07-27
256,272,70,0,1944-10-25
257,273,27,0,1972-05-15
258,274,17,0,1970-11-25
259,275,1,0,1918-11-12
260,276,1,1,1957-06-11
261,277,1,0,1961-11-28
262,278,22,0,1972-12-27
263,279,22,1,1970-05-16
264,280,45,0,1969-12-18
265,282,73,0,1938-02-24
266,283,73,1,1933-11-04
267,284,10,1,1974-08-06
268,285,72,1,1954-06-03
269,286,72,0,1952-04-18
270,287,50,1,1980-09-09
271,288,6,1,1962-04-21
272,289,54,1,1958-03-27
273,290,72,1,1959-01-12
274,291,72,0,1955-04-27
275,292,15,0,1958-09-06
276,293,69,1,1943-09-27
277,294,58,1,1968-03-21
278,295,12,1,1939-03-27
279,296,65,1,1974-03-01
280,297,65,0,1924-03-15
281,298,65,1,1921-06-13
282,300,1,0,1957-07-30
283,301,28,1,1942-01-10
284,302,56,1,1971-02-23
285,303,74,1,1946-05-06
286,304,19,0,1934-03-11
287,305,46,1,1938-06-08
288,308,68,0,1976-06-12
289,309,37,0,1969-12-14
290,310,11,1,1950-04-16
291,311,64,0,1930-09-16
292,312,2,1,1924-07-03
293,313,24,0,1942-05-11
294,314,24,1,1945-03-22
295,315,54,1,1967-05-01
296,316,75,1,1955-04-28
297,317,64,0,1957-10-06
298,318,15,0,1943-04-02
299,319,19,0,1929-04-04
300,320,19,1,1934-11-12
301,321,47,0,1943-10-24
302,322,38,1,1933-02-01
303,323,38,0,1938-04-04
304,324,3,1,1960-12-03
305,325,3,1,1960-02-21
306,326,27,0,1967-09-18
307,327,27,1,1968-10-13
308,328,1,0,1918-01-24
309,329,11,1,1964-12-03
310,330,65,0,1944-08-05
311,331,1,1,1942-03-02
312,332,29,1,1978-07-25
313,333,38,1,1971-10-19
314,334,32,1,1969-10-31
315,335,73,0,1967-07-22
316,336,39,0,1964-02-11
317,337,39,1,1957-05-08
318,338,8,0,1951-06-19
319,339,1,1,1966-07-30
320,340,1,0,1970-08-19
321,341,69,1,1977-03-16
322,342,69,0,1972-06-30
323,343,44,1,1919-11-19
324,344,54,0,1963-07-16
325,345,17,1,1953-12-07
326,346,17,0,1960-11-02
327,347,71,1,1959-12-13
328,348,71,0,1953-01-24
329,349,39,0,1927-05-27
330,350,25,0,1925-04-02
331,351,1,1,1973-05-01
332,352,56,1,1940-08-27
333,353,7,1,1965-10-26
334,354,49,0,1922-04-27
335,355,49,1,1930-05-31
336,356,1,0,1979-12-07
337,357,1,1,1979-03-30
338,358,7,0,1959-06-26
339,359,66,1,1970-02-16
340,360,49,1,1943-04-27
341,361,74,0,1977-05-25
342,362,35,0,1950-04-27
343,363,35,1,1942-07-01
344,364,54,0,1942-12-05
345,365,1,1,1930-01-09
346,366,1,0,1936-11-10
347,367,60,0,1963-09-03
348,368,60,1,1968-10-14
349,369,7,0,1930-11-06
350,370,71,0,1956-01-05
351,371,4,1,1942-07-16
352,372,34,1,1932-04-03
353,373,16,1,1936-02-28
354,374,26,1,1967-06-14
355,375,61,0,1969-09-29
356,376,14,0,1973-01-08
357,378,50,1,1978-05-15
358,379,50,0,1983-10-13
359,380,41,1,1973-01-19
360,381,73,0,1977-01-26
361,382,73,1,1978-06-30
362,383,15,0,1939-05-17
363,384,15,1,1935-10-08
364,385,45,1,1948-03-24
365,386,62,1,1980-08-21
366,387,76,1,1927-06-06
367,388,36,0,1950-10-30
368,389,47,0,1974-06-30
369,390,47,0,1977-01-27
370,391,47,0,1933-05-22
371,392,74,0,1950-04-01
372,393,74,1,1956-08-31
373,394,52,0,1924-05-18
374,395,52,1,1919-07-05
375,396,1,1,1920-05-02
376,397,75,1,1930-03-27
377,398,61,0,1925-03-26
378,399,45,1,1952-04-14
379,400,1,1,1933-12-27
380,401,1,0,1928-11-19
381,402,3,1,1943-12-25
382,403,42,0,1973-05-26
383,404,42,1,1967-04-20
384,405,65,0,1934-10-19
385,406,36,1,1977-05-15
386,407,73,0,1975-05-27
387,408,35,0,1978-02-22
388,409,74,1,1925-06-18
389,410,62,1,1962-12-20
390,411,17,0,1941-04-14
391,412,17,1,1944-04-17
392,413,49,0,1972-11-18
393,414,46,0,1947-10-19
394,415,46,1,1945-04-01
395,416,1,0,1932-10-07
396,417,1,1,1930-06-10
397,418,28,1,1966-10-13
398,419,64,0,1970-10-07
399,420,18,1,1978-03-13
400,421,54,1,1965-07-31
401,422,69,1,1946-12-07
402,423,37,1,1957-06-23
403,424,1,1,1947-10-08
404,425,25,1,1948-02-12
405,426,72,1,1937-06-01
406,427,72,0,1941-09-14
407,428,47,0,1919-11-16
408,429,50,0,1981-01-20
409,430,39,1,1920-07-28
410,431,24,0,1927-10-01
411,432,59,0,1952-03-26
412,433,62,1,1955-02-07
413,434,70,0,1943-01-30
414,435,20,1,1967-10-23
415,436,2,1,1955-06-15
416,437,11,0,1920-01-17
417,438,32,1,1938-09-28
418,439,51,0,1968-09-12
419,440,15,0,1970-07-07
420,441,1,1,1959-09-14
421,442,1,0,1971-12-16
422,443,1,1,1971-12-20
423,444,74,0,1960-08-01
424,445,1,0,1947-04-27
425,446,1,1,1952-03-19
426,447,23,1,1946-09-04
427,448,77,0,1970-08-15
428,450,25,1,1953-11-27
429,451,12,1,1979-04-14
430,452,55,0,1953-10-22
431,453,67,1,1969-07-16
432,454,38,0,1949-06-15
433,455,68,1,1920-07-26
434,456,25,1,1940-02-28
435,457,70,1,1950-09-26
436,458,68,1,1961-07-24
437,459,32,0,1967-07-23
438,461,68,0,1970-08-13
439,462,14,1,1970-12-21
440,463,38,1,1944-04-05
441,464,24,0,1959-07-30
442,465,5,1,1952-09-01
443,466,1,0,1947-11-19
444,467,1,1,1950-04-17
445,468,72,1,1959-04-27
446,469,59,0,1970-10-13
447,470,30,0,1954-04-21
448,471,44,1,1977-01-11
449,472,36,1,1981-12-27
450,473,1,0,1939-09-25
451,474,46,1,1949-05-31
452,476,1,0,1947-06-01
453,477,1,1,1954-07-20
454,478,21,1,1978-06-21
455,479,11,1,1947-08-20
456,480,11,0,1946-01-24
457,481,69,1,1927-01-22
458,482,69,0,1934-01-22
459,483,1,1,1944-06-19
460,484,28,0,1959-09-13
461,485,32,1,1978-05-16
462,486,68,1,1944-04-12
463,487,1,0,1922-04-01
464,488,1,1,1917-08-02
465,489,41,1,1940-10-07
466,490,55,1,1950-10-23
467,491,63,1,1966-08-05
468,492,72,1,1935-10-26
469,493,41,0,1942-06-04
470,494,1,1,1980-05-19
471,495,49,0,1937-04-07
472,496,70,0,1951-05-21
473,497,74,1,1953-02-02
474,498,74,0,1948-01-15
475,499,18,0,1935-07-08
476,500,1,1,1971-01-06
477,501,62,1,1937-10-28
478,502,6,1,1919-12-08
479,503,73,1,1959-07-24
480,504,36,1,1979-08-01
481,505,13,1,1977-12-21
482,506,75,1,1946-08-16
483,507,75,1,1954-11-16
484,508,53,1,1971-04-28
485,509,73,1,1980-05-02
486,510,12,1,1976-04-15
487,511,9,1,1959-02-18
488,512,60,0,1965-08-03
489,513,8,0,1974-01-11
490,514,8,1,1968-11-15
491,515,1,1,1932-05-26
492,516,1,0,1930-04-27
493,517,63,1,1965-07-25
494,518,54,0,1979-04-28
495,519,18,1,1980-04-13
496,520,46,0,1947-09-27
497,521,69,1,1975-12-25
498,522,1,0,1956-03-04
499,523,38,1,1922-12-17
500,524,30,0,1963-01-02
501,525,30,1,1969-08-14
502,526,43,1,1964-02-01
503,527,43,0,1966-08-18
504,528,37,1,1977-02-11
505,529,69,1,1978-11-05
506,530,29,0,1957-09-27
507,531,27,1,1976-10-04
508,532,27,0,1980-09-03
509,533,54,0,1941-05-19
510,534,74,1,1957-07-22
511,535,26,1,1937-09-09
512,536,47,1,1939-08-25
513,537,1,1,1935-01-16
514,538,5,0,1948-05-10
515,540,19,1,1921-07-28
516,541,19,0,1927-03-09
517,542,59,0,1921-02-09
518,543,11,0,1958-04-15
519,544,63,1,1948-11-16
520,545,75,0,1973-10-11
521,546,7,1,1953-08-25
522,547,54,1,1949-03-31
523,548,49,1,1937-12-04
524,550,7,1,1961-11-30
525,551,47,0,1976-07-05
526,552,1,0,1934-05-08
527,553,1,1,1941-04-07
528,554,30,0,1925-04-19
529,555,30,1,1926-10-21
530,556,29,1,1946-07-08
531,557,51,1,1939-07-17
532,558,43,0,1920-07-05
533,559,32,0,1972-09-05
534,560,71,0,1967-12-16
535,561,74,0,1962-11-10
536,562,49,0,1975-09-22
537,563,72,0,1961-09-09
538,564,72,1,1955-01-24
539,565,64,0,1959-07-03
540,566,47,0,1946-03-05
541,567,47,1,1950-05-02
542,568,8,0,1960-07-19
543,569,73,1,1962-06-15
544,570,61,0,1941-01-31
545,571,3,1,1924-09-27
546,572,3,0,1920-08-04
547,573,69,1,1967-08-10
548,574,1,1,1972-12-25
549,575,58,1,1970-04-04
550,576,58,0,1974-05-12
551,577,1,0,1963-12-05
552,578,23,0,1977-07-07
553,579,72,0,1933-05-31
554,581,70,0,1949-02-04
555,582,1,1,1950-09-26
556,583,75,0,1965-01-01
557,584,33,0,1976-05-13
558,585,40,0,1942-02-21
559,586,40,1,1947-11-03
560,587,25,0,1945-07-08
561,588,61,0,1960-10-20
562,589,45,1,1961-09-17
563,590,44,1,1949-02-15
564,591,65,0,1974-10-29
565,592,26,1,1965-07-18
566,593,60,0,1954-07-10
567,596,69,1,1948-10-24
568,597,55,1,1943-02-22
569,598,1,1,1970-12-31
570,599,1,0,1977-05-18
571,601,56,1,1966-03-12
572,602,56,0,1965-01-16
573,603,13,0,1966-03-09
574,604,1,0,1965-07-31
575,605,1,0,1970-08-27
576,606,10,0,1949-01-25
577,607,64,1,1964-03-30
578,608,67,1,1972-08-31
579,609,52,1,1962-09-02
580,610,74,0,1979-08-10
581,611,36,1,1952-10-13
582,612,36,0,1960-11-10
583,613,1,0,1977-08-10
584,614,14,0,1947-02-03
585,615,68,0,1949-09-13
586,616,58,1,1975-01-01
587,617,70,1,1974-03-14
588,618,57,0,1932-03-16
589,619,6,1,1920-09-07
590,620,6,0,1918-02-13
591,621,54,1,1939-03-17
592,622,74,0,1931-11-23
593,623,24,1,1925-09-04
594,624,24,0,1932-07-26
595,625,60,0,1978-11-24
596,626,9,1,1980-04-13
597,627,17,1,1972-04-11
598,628,17,0,1970-05-27
599,629,16,1,1976-03-10
600,630,61,1,1952-03-03
601,631,70,0,1956-03-22
602,632,67,1,1946-03-16
603,633,67,0,1938-06-12
604,635,17,0,1927-06-29
605,636,17,1,1935-02-17
606,637,39,0,1970-12-15
607,638,54,0,1961-02-03
608,639,31,1,1978-08-02
609,640,26,1,1979-04-15
610,641,40,0,1962-07-04
611,642,40,1,1963-10-25
612,643,1,0,1949-06-13
613,644,35,0,1961-04-23
614,645,14,1,1925-12-21
615,646,34,0,1922-09-29
616,647,34,1,1929-04-06
617,648,70,0,1935-09-28
618,649,13,0,1978-05-02
619,651,54,0,1976-01-27
620,652,61,1,1938-12-08
621,653,1,0,1930-11-21
622,654,64,0,1942-05-17
623,655,32,1,1942-12-10
624,656,1,1,1956-06-06
625,657,8,0,1926-07-10
626,658,8,1,1926-12-21
627,659,24,1,1965-12-07
628,660,16,1,1923-03-22
629,661,16,0,1919-01-15
630,662,5,1,1945-08-07
631,663,24,1,1923-01-20
632,664,77,0,1980-03-19
633,665,62,0,1932-04-05
634,666,26,1,1982-05-23
635,667,26,0,1981-07-20
636,668,1,0,1942-12-25
637,669,12,0,1956-12-19
638,670,1,1,1959-01-21
639,671,10,0,1971-02-27
640,672,46,0,1929-11-09
641,673,36,1,1939-10-29
642,674,11,0,1927-01-11
643,675,50,1,1975-11-12
644,676,70,1,1953-02-07
645,677,5,1,1963-05-24
646,678,39,0,1933-05-28
647,679,8,1,1940-03-19
648,680,8,0,1940-05-09
649,681,15,1,1977-01-15
650,682,18,1,1979-10-21
651,683,76,0,1945-08-29
652,684,3,0,1976-04-10
653,685,72,0,1930-12-13
654,686,32,0,1971-10-03
655,687,32,1,1975-01-28
656,688,1,1,1954-05-04
657,689,70,1,1964-08-02
658,690,38,1,1942-11-07
659,691,38,0,1944-01-13
660,692,74,0,1936-01-11
661,693,74,1,1935-03-17
662,694,29,1,1936-02-28
663,695,28,1,1955-06-27
664,696,28,0,1952-12-01
665,697,1,1,1974-05-01
666,698,75,1,1954-02-27
667,699,26,0,1922-04-22
668,700,12,1,1929-11-20
669,702,31,0,1968-11-07
670,703,4,1,1959-04-26
671,704,54,1,1975-05-01
672,705,19,1,1938-12-10
673,706,1,1,1948-08-05
674,707,1,1,1941-12-14
675,708,50,0,1977-11-27
676,709,1,1,1934-12-29
677,710,23,1,1925-11-28
678,711,48,0,1963-08-16
679,712,54,1,1962-12-04
680,713,20,0,1980-03-29
681,714,31,1,1970-10-08
682,715,1,0,1952-01-15
683,716,1,0,1954-12-04
684,717,54,1,1968-05-02
685,718,54,0,1960-02-28
686,719,46,1,1974-08-09
687,720,29,1,1954-09-06
688,721,43,1,1940-02-15
689,722,62,0,1970-11-25
690,723,12,0,1957-07-26
691,724,65,0,1953-02-02
692,725,75,1,1956-12-11
693,726,16,1,1935-02-13
694,727,32,0,1930-07-20
695,728,32,1,1932-01-20
696,729,63,0,1969-03-17
697,730,63,1,1973-08-14
698,731,74,0,1979-01-22
699,732,74,1,1978-07-05
700,733,46,1,1978-07-28
701,734,46,0,1985-01-14
702,735,1,1,1973-11-26
703,736,1,0,1977-04-26
704,737,74,1,1952-11-04
705,738,25,1,1920-03-26
706,739,72,1,1942-04-16
707,740,55,1,1923-11-07
708,741,74,1,1941-07-09
709,742,1,0,1951-10-15
710,743,1,1,1941-02-17
711,744,26,1,1940-07-18
712,745,52,0,1966-02-14
713,746,52,1,1962-04-16
714,747,24,0,1953-08-20
715,748,25,1,1936-10-15
716,749,25,0,1933-07-29
717,750,70,0,1956-09-29
718,751,70,1,1959-03-09
719,752,72,1,1944-12-20
720,753,72,0,1940-09-24
721,754,63,0,1947-06-04
722,755,72,1,1947-11-21
723,756,31,1,1920-05-13
724,757,71,0,1970-12-20
725,758,68,0,1961-07-26
726,759,29,1,1955-05-20
727,760,57,0,1936-08-25
728,762,21,1,1937-04-20
729,763,75,0,1927-08-24
730,764,49,0,1955-10-13
731,765,65,1,1969-12-31
732,766,1,0,1926-07-03
733,767,1,1,1923-06-16
734,768,32,0,1931-09-23
735,769,40,1,1977-12-15
736,772,64,1,1944-12-10
737,773,4,1,1935-10-30
738,774,70,1,1973-03-03
739,775,51,0,1940-11-30
740,776,1,0,1953-05-03
741,777,1,1,1961-05-20
742,778,13,1,1940-06-04
743,779,69,0,1944-06-12
744,780,3,1,1924-02-26
745,781,72,1,1945-09-20
746,782,5,0,1963-03-18
747,783,27,0,1971-03-25
748,784,27,1,1964-12-28
749,785,63,1,1934-09-09
750,786,53,1,1978-09-06
751,787,3,1,1947-12-08
752,788,47,1,1974-09-03
753,789,4,1,1931-09-21
754,790,63,0,1967-05-09
755,791,68,0,1950-09-29
756,793,21,1,1978-02-04
757,794,21,0,1979-07-16
758,796,1,1,1919-08-30
759,797,8,1,1948-01-27
760,798,27,0,1940-02-12
761,799,27,1,1936-02-19
762,803,35,1,1951-02-15
763,804,35,0,1956-01-23
764,806,60,1,1980-04-22
765,807,53,0,1969-10-21
766,808,31,1,1963-11-28
767,809,49,1,1919-10-15
768,810,58,0,1945-09-24
769,811,58,1,1940-05-28
770,812,39,1,1940-12-06
771,813,70,1,1964-01-29
772,814,19,1,1959-10-01
773,815,22,0,1964-10-27
774,816,17,0,1958-02-01
775,818,54,1,1966-04-27
776,819,74,1,1958-07-08
777,820,74,0,1960-11-06
778,821,49,1,1948-05-12
779,822,37,0,1959-05-08
780,823,41,1,1956-10-24
781,824,27,1,1952-09-05
782,825,74,1,1977-04-02
783,826,1,1,1978-01-23
784,827,10,0,1965-09-04
785,828,10,1,1958-12-10
786,829,24,1,1957-05-19
787,830,69,1,1948-08-27
788,831,2,1,1948-05-02
789,832,67,0,1923-12-23
790,833,5,1,1960-06-11
791,834,54,1,1922-12-17
792,835,28,0,1943-10-20
793,836,28,1,1948-06-14
794,837,71,1,1974-10-14
795,838,71,0,1968-02-04
796,839,47,0,1955-05-18
797,840,20,1,1937-04-26
798,841,69,1,1981-02-10
799,842,12,0,1933-07-03
800,843,54,0,1957-09-03
801,844,22,1,1945-01-14
802,845,22,0,1953-01-30
803,846,35,1,1949-12-01
804,847,49,1,1979-12-25
805,849,26,0,1939-06-06
806,850,19,1,1969-09-21
807,851,25,1,1919-06-16
808,852,25,0,1916-06-04
809,853,70,1,1949-06-02
810,854,72,0,1941-11-02
811,855,58,1,1930-01-28
812,856,23,1,1919-01-22
813,857,32,1,1948-02-21
814,858,47,0,1959-03-29
815,859,1,0,1968-07-29
816,860,1,1,1967-12-08
817,861,1,0,1956-09-13
818,862,30,1,1952-01-05
819,863,54,0,1968-11-29
820,864,11,1,1953-03-27
821,865,11,0,1946-11-03
822,866,38,0,1975-11-24
823,870,70,1,1957-05-06
824,871,76,1,1974-03-11
825,872,35,1,1963-02-22
826,873,60,1,1944-01-05
827,874,14,0,1952-09-05
828,875,14,1,1956-12-07
829,876,1,1,1960-11-25
830,877,5,0,1927-01-21
831,878,5,1,1920-04-17
832,879,38,0,1943-12-08
833,880,49,1,1960-02-17
834,881,5,0,1975-02-22
835,882,70,0,1933-09-09
836,883,75,0,1920-01-06
837,884,75,1,1918-10-14
838,885,34,1,1923-02-08
839,886,34,1,1948-02-02
840,887,66,0,1973-11-28
841,888,28,1,1973-10-26
842,889,54,0,1981-10-24
843,890,77,1,1919-03-30
844,891,33,1,1931-01-31
845,892,42,0,1922-05-24
846,893,43,0,1935-10-23
847,894,75,1,1934-08-18
848,895,39,1,1970-07-03
849,896,36,0,1973-04-24
850,897,36,1,1981-03-25
851,898,38,0,1943-04-27
852,899,38,1,1944-02-13
853,900,73,1,1977-04-10
854,901,39,1,1919-12-21
855,902,23,1,1950-08-15
856,903,31,1,1934-03-06
857,904,1,1,1932-02-08
858,905,38,1,1940-10-23
859,906,65,1,1978-06-16
860,907,51,1,1948-03-11
861,908,51,0,1961-03-07
862,909,23,1,1975-09-07
863,910,1,1,1961-09-27
864,911,43,1,1939-11-28
865,912,76,1,1920-10-29
866,913,1,1,1938-11-18
867,914,1,0,1921-01-19
868,915,12,1,1975-05-03
869,916,3,1,1958-06-29
870,917,25,0,1973-09-16
871,918,26,1,1964-12-23
872,921,7,0,1954-02-13
873,922,22,0,1972-08-16
874,923,22,1,1978-08-22
875,924,1,1,1953-07-12
876,925,54,1,1959-08-13
877,926,1,1,1981-01-22
878,927,1,1,1974-10-26
879,928,66,0,1951-10-10
880,929,30,1,1935-04-23
881,930,68,0,1959-08-25
882,931,16,1,1968-06-07
883,932,3,1,1947-09-27
884,933,33,0,1978-03-11
885,934,33,1,1982-08-19
886,935,42,0,1946-05-17
887,936,42,1,1943-07-30
888,937,1,1,1931-11-14
889,938,59,0,1944-08-07
890,939,21,1,1952-08-03
891,940,53,1,1960-08-11
892,941,10,1,1935-10-05
893,942,12,0,1931-09-02
894,943,12,1,1936-09-26
895,944,39,1,1970-12-18
896,945,39,0,1977-01-10
897,946,54,1,1951-08-06
898,948,49,1,1924-04-22
899,949,3,1,1976-07-27
900,950,76,0,1965-04-12
901,951,76,1,1960-09-17
902,952,63,0,1951-05-01
903,953,25,1,1937-10-17
904,954,1,0,1942-10-20
905,955,57,1,1970-01-28
906,956,1,1,1966-10-21
907,957,56,0,1941-12-23
908,958,56,1,1942-05-04
909,959,11,0,1962-09-12
910,960,16,0,1957-04-13
911,961,15,0,1931-10-04
912,962,19,1,1966-02-19
913,963,64,0,1966-12-17
914,964,10,0,1953-10-21
915,965,13,0,1972-12-01
916,966,13,1,1978-09-02
917,967,76,1,1979-06-20
918,968,69,1,1957-02-17
919,970,36,1,1957-03-29
920,971,46,0,1919-01-01
921,972,46,1,1917-05-06
922,973,14,0,1970-10-06
923,974,14,1,1963-06-24
924,975,1,0,1959-07-12
925,976,16,0,1955-11-19
926,977,76,0,1926-05-10
927,978,56,0,1968-06-09
928,979,56,1,1966-11-18
929,980,40,1,1961-09-30
930,981,5,1,1960-06-28
