loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date,index,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants
7198,10788,1994-08-23,45768,12,3814,0,67,4,1993-11-22,66,1,0,0,0,106054,38,25,6,2,6,63.1,8110,6.55,109
6686,8260,1994-08-25,224604,36,6239,0,31,1,1993-03-24,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108
5836,4259,1994-08-27,79632,24,3318,0,66,1,1994-04-08,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102
7061,10105,1994-08-27,121896,24,5079,0,55,1,1993-04-28,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111
5595,3050,1994-09-02,82896,12,6908,0,60,1,1993-05-08,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115
5723,3674,1994-09-10,23628,12,1969,0,38,1,1993-03-12,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
6120,5481,1994-09-11,209184,48,4358,0,52,1,1993-08-16,51,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108
6895,9307,1994-09-19,41904,12,3492,0,68,1,1993-01-24,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
5882,4427,1994-09-26,87816,12,7318,0,32,1,1993-06-07,31,0,1,0,1,105058,32,19,7,2,10,81.0,9272,3.22,118
5754,3834,1994-09-28,23052,12,1921,0,54,1,1993-01-19,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
6594,7824,1994-09-28,189696,24,7904,1,60,1,1994-05-17,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115
6738,8566,1994-09-29,230220,36,6395,1,74,1,1993-10-08,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6624,7965,1994-09-30,71460,12,5955,0,55,1,1993-11-08,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111
6216,5952,1994-09-30,141240,24,5885,0,50,1,1993-09-07,49,0,1,1,0,102609,75,33,2,3,6,52.0,8187,5.45,94
6229,6040,1994-10-02,11736,24,489,0,1,1,1993-04-22,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5887,4448,1994-10-03,192744,36,5354,0,60,1,1993-06-02,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115
6808,8982,1994-10-12,227880,36,6330,0,64,1,1993-09-25,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
6297,6363,1994-10-25,17508,12,1459,0,74,1,1993-08-01,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
5161,1012,1994-10-28,98184,24,4091,0,65,1,1994-07-09,64,0,1,1,1,114200,101,41,4,1,4,43.7,8403,5.72,105
5390,2167,1994-10-30,170256,24,7094,0,16,1,1993-08-08,15,0,0,1,1,93931,74,21,10,1,8,56.9,8427,1.54,107
6150,5622,1994-11-02,83016,12,6918,0,70,1,1993-02-08,69,1,0,0,0,285387,0,2,8,5,7,89.9,10177,7.75,81
6223,5991,1994-11-03,61056,48,1272,0,1,1,1993-11-21,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5032,290,1994-11-03,123696,48,2577,0,56,1,1993-12-02,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126
6253,6148,1994-11-04,59760,24,2490,0,74,1,1993-12-27,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6460,7133,1994-11-06,48672,36,1352,0,1,1,1993-09-17,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6645,8041,1994-11-06,140400,36,3900,0,1,1,1993-10-10,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5176,1106,1994-11-12,192552,24,8023,1,20,4,1993-08-29,19,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120
5269,1527,1994-11-19,164052,36,4557,1,31,12,1993-11-17,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108
5351,1978,1994-12-04,205200,36,5700,0,57,4,1993-06-11,56,0,1,1,1,161954,21,37,20,3,8,48.0,8720,4.5,116
5861,4337,1994-12-08,51408,24,2142,0,29,1,1993-11-16,28,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113
5450,2345,1994-12-11,199680,60,3328,0,5,1,1993-10-25,4,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118
7142,10451,1994-12-19,482940,60,8049,1,1,1,1993-08-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6306,6425,1994-12-20,36684,12,3057,0,31,1,1993-03-29,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108
6272,6226,1994-12-20,398640,60,6644,0,74,4,1993-07-26,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
5044,344,1994-12-21,100980,60,1683,0,54,1,1993-12-01,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
5576,2962,1994-12-21,31248,12,2604,0,1,1,1993-05-30,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
7192,10738,1994-12-21,115992,36,3222,0,45,4,1993-04-17,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132
5739,3747,1995-01-02,76380,12,6365,0,1,1,1994-05-01,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6526,7523,1995-01-03,288468,36,8013,0,63,1,1994-08-29,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110
5624,3166,1995-01-03,177744,48,3703,1,71,1,1993-08-10,70,1,0,0,0,161227,5,35,11,4,10,69.7,8678,5.57,102
6244,6118,1995-01-08,270648,36,7518,1,1,4,1994-03-07,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5131,816,1995-01-08,48624,24,2026,0,52,1,1993-08-05,51,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108
6960,9640,1995-01-11,76416,24,3184,0,1,1,1993-03-13,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6358,6715,1995-01-14,137880,60,2298,1,48,4,1993-09-15,47,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124
5418,2245,1995-01-16,347952,48,7249,0,29,1,1993-03-30,28,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113
6598,7857,1995-01-18,68112,12,5676,0,75,1,1993-08-04,74,1,0,0,0,138032,67,30,4,2,5,64.6,8819,5.66,99
5464,2419,1995-01-30,95808,12,7984,0,24,1,1993-11-27,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128
6591,7819,1995-02-02,20832,48,434,0,38,1,1993-08-01,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
5724,3678,1995-02-05,316140,60,5269,1,1,1,1993-03-24,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6315,6472,1995-02-06,43164,12,3597,0,61,1,1994-02-08,60,0,1,1,1,117897,139,28,5,1,6,53.8,8814,5.74,107
5876,4413,1995-02-08,221280,48,4610,0,74,4,1994-01-15,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6986,9750,1995-02-11,151728,48,3161,1,74,1,1994-05-16,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6294,6353,1995-02-12,79920,60,1332,0,26,1,1993-11-26,25,0,1,0,0,170449,0,0,0,1,1,100.0,10787,3.09,131
5132,817,1995-02-17,538500,60,8975,0,5,1,1994-03-18,4,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118
5877,4414,1995-02-23,97224,24,4051,0,24,1,1993-09-10,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128
6227,6030,1995-03-04,28248,24,1177,0,47,1,1993-08-24,46,0,1,1,0,162580,83,26,5,1,6,72.8,9538,1.81,111
7241,11021,1995-03-04,168984,24,7041,1,1,1,1993-08-10,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6737,8564,1995-03-11,76680,24,3195,0,68,1,1993-09-12,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
7004,9869,1995-03-15,331560,60,5526,0,12,1,1993-08-21,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137
6169,5700,1995-03-16,103680,60,1728,1,42,1,1993-07-20,41,0,1,1,0,95907,87,25,5,2,7,59.1,8388,2.94,87
5208,1247,1995-03-16,99696,48,2077,1,25,1,1993-06-08,24,0,1,0,0,88757,60,33,3,2,10,61.7,8554,2.68,113
6694,8316,1995-03-19,134784,24,5616,0,70,1,1994-06-04,69,1,0,0,0,285387,0,2,8,5,7,89.9,10177,7.75,81
5599,3064,1995-03-21,15420,12,1285,0,40,1,1993-05-23,39,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97
6546,7607,1995-03-27,31728,24,1322,0,1,1,1993-09-05,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5414,2228,1995-03-29,185952,48,3874,0,34,1,1994-03-19,33,0,1,0,1,125236,28,11,1,4,5,87.7,9675,7.68,100
5453,2361,1995-04-01,156672,36,4352,0,28,1,1994-02-25,27,0,1,0,0,72541,66,26,10,0,8,36.9,8594,2.01,112
5740,3752,1995-04-02,18564,12,1547,0,1,1,1994-11-25,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5804,4079,1995-04-05,158976,48,3312,0,52,1,1993-11-03,51,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108
6745,8625,1995-04-10,47304,24,1971,0,64,1,1993-11-10,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
6950,9591,1995-04-11,104712,24,4363,0,74,1,1993-05-20,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
6996,9828,1995-04-13,126600,24,5275,0,11,1,1993-05-20,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
5352,1993,1995-04-15,68400,12,5700,1,68,1,1994-10-30,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
6151,5628,1995-04-25,225420,60,3757,0,61,1,1994-06-17,60,0,1,1,1,117897,139,28,5,1,6,53.8,8814,5.74,107
5310,1762,1995-04-28,248148,36,6893,0,28,1,1993-12-11,27,0,1,0,0,72541,66,26,10,0,8,36.9,8594,2.01,112
5045,347,1995-05-01,187224,24,7801,1,65,1,1993-12-13,64,0,1,1,1,114200,101,41,4,1,4,43.7,8403,5.72,105
6929,9472,1995-05-08,36396,12,3033,0,1,4,1993-07-06,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
5151,960,1995-05-24,189060,60,3151,0,4,12,1994-11-02,3,0,0,1,0,149893,63,29,6,2,6,67.4,9753,5.05,109
5212,1256,1995-05-29,71064,36,1974,0,38,1,1994-04-21,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104
5138,854,1995-05-30,87216,48,1817,0,62,1,1993-09-21,61,0,1,1,1,145688,22,41,13,2,5,40.7,8544,1.86,109
5713,3629,1995-05-30,158760,60,2646,0,48,1,1993-07-27,47,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124
6704,8377,1995-06-01,417060,60,6951,0,29,1,1993-11-20,28,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113
6474,7190,1995-06-06,63360,60,1056,0,49,1,1993-09-06,48,0,1,1,0,75685,31,28,5,1,9,60.8,8208,2.26,155
6676,8159,1995-06-13,29784,24,1241,0,26,1,1995-02-08,25,0,1,0,0,170449,0,0,0,1,1,100.0,10787,3.09,131
6965,9656,1995-06-13,139536,24,5814,0,61,1,1993-11-14,60,0,1,1,1,117897,139,28,5,1,6,53.8,8814,5.74,107
6725,8489,1995-06-23,265320,36,7370,0,19,1,1993-09-18,18,0,0,1,1,51428,50,11,3,1,4,52.7,8402,3.98,120
7166,10630,1995-06-24,198240,24,8260,0,41,1,1995-01-15,40,0,1,0,1,118650,8,8,5,1,3,85.6,9832,4.48,114
7138,10440,1995-07-03,60000,60,1000,0,72,1,1993-09-13,71,1,0,0,0,226122,32,50,7,4,4,62.6,8994,4.79,110
5970,4774,1995-07-09,465072,48,9689,0,66,1,1994-01-14,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102
6157,5650,1995-07-10,98592,24,4108,0,10,12,1995-01-08,9,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141
6153,5632,1995-07-25,285600,60,4760,0,5,4,1994-11-15,4,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118
5693,3489,1995-08-01,44088,24,1837,0,9,1,1994-12-08,8,0,0,1,0,81344,61,23,4,2,6,55.3,8899,3.97,149
5922,4580,1995-08-05,20220,12,1685,0,9,1,1994-08-27,8,0,0,1,0,81344,61,23,4,2,6,55.3,8899,3.97,149
5959,4727,1995-08-11,107640,24,4485,0,2,1,1995-02-13,1,0,0,1,0,88884,80,26,6,2,5,46.7,8507,1.85,132
5980,4825,1995-08-18,21396,12,1783,0,15,1,1994-06-04,14,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124
6764,8776,1995-08-26,33984,48,708,0,64,1,1994-08-24,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
5237,1375,1995-08-29,45336,24,1889,0,19,1,1994-04-27,18,0,0,1,1,51428,50,11,3,1,4,52.7,8402,3.98,120
6726,8492,1995-09-03,85860,60,1431,0,2,1,1994-06-29,1,0,0,1,0,88884,80,26,6,2,5,46.7,8507,1.85,132
6933,9493,1995-09-09,188688,48,3931,0,64,1,1995-04-02,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
5145,915,1995-09-16,309552,48,6449,0,72,1,1995-01-18,71,1,0,0,0,226122,32,50,7,4,4,62.6,8994,4.79,110
7008,9897,1995-09-22,36168,12,3014,0,1,1,1995-03-04,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
7227,10942,1995-10-02,314520,60,5242,0,44,4,1994-06-05,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97
6600,7861,1995-10-08,21852,36,607,0,34,1,1995-04-22,33,0,1,0,1,125236,28,11,1,4,5,87.7,9675,7.68,100
6712,8405,1995-10-14,266220,60,4437,0,20,1,1994-05-10,19,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120
7057,10093,1995-10-20,231696,36,6436,0,1,4,1994-07-01,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
7176,10663,1995-10-28,260028,36,7223,0,11,1,1993-12-08,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154
7304,11349,1995-10-29,419880,60,6998,0,1,4,1995-05-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167
6362,6738,1995-10-31,37908,12,3159,0,62,1,1994-07-28,61,0,1,1,1,145688,22,41,13,2,5,40.7,8544,1.86,109
5880,4423,1995-10-31,73836,36,2051,0,39,1,1995-04-26,38,0,1,0,1,119895,17,4,3,2,4,89.9,10446,9.4,90
6535,7546,1995-11-02,41952,12,3496,0,43,1,1994-09-03,42,0,1,1,0,161854,73,21,6,1,6,76.3,9425,2.5,125
5449,2343,1995-11-04,99336,24,4139,0,68,1,1994-12-09,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
