loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date
7142,10451,1994-12-19,482940,60,8049,1,1,1,1993-08-29
6306,6425,1994-12-20,36684,12,3057,0,31,1,1993-03-29
6272,6226,1994-12-20,398640,60,6644,0,74,4,1993-07-26
5044,344,1994-12-21,100980,60,1683,0,54,1,1993-12-01
5576,2962,1994-12-21,31248,12,2604,0,1,1,1993-05-30
7192,10738,1994-12-21,115992,36,3222,0,45,4,1993-04-17
5739,3747,1995-01-02,76380,12,6365,0,1,1,1994-05-01
6526,7523,1995-01-03,288468,36,8013,0,63,1,1994-08-29
5624,3166,1995-01-03,177744,48,3703,1,71,1,1993-08-10
6244,6118,1995-01-08,270648,36,7518,1,1,4,1994-03-07
5131,816,1995-01-08,48624,24,2026,0,52,1,1993-08-05
6960,9640,1995-01-11,76416,24,3184,0,1,1,1993-03-13
6358,6715,1995-01-14,137880,60,2298,1,48,4,1993-09-15
5418,2245,1995-01-16,347952,48,7249,0,29,1,1993-03-30
6598,7857,1995-01-18,68112,12,5676,0,75,1,1993-08-04
5464,2419,1995-01-30,95808,12,7984,0,24,1,1993-11-27
6591,7819,1995-02-02,20832,48,434,0,38,1,1993-08-01
5724,3678,1995-02-05,316140,60,5269,1,1,1,1993-03-24
6315,6472,1995-02-06,43164,12,3597,0,61,1,1994-02-08
5876,4413,1995-02-08,221280,48,4610,0,74,4,1994-01-15
6986,9750,1995-02-11,151728,48,3161,1,74,1,1994-05-16
6294,6353,1995-02-12,79920,60,1332,0,26,1,1993-11-26
5132,817,1995-02-17,538500,60,8975,0,5,1,1994-03-18
5877,4414,1995-02-23,97224,24,4051,0,24,1,1993-09-10
6227,6030,1995-03-04,28248,24,1177,0,47,1,1993-08-24
7241,11021,1995-03-04,168984,24,7041,1,1,1,1993-08-10
6737,8564,1995-03-11,76680,24,3195,0,68,1,1993-09-12
7004,9869,1995-03-15,331560,60,5526,0,12,1,1993-08-21
6169,5700,1995-03-16,103680,60,1728,1,42,1,1993-07-20
5208,1247,1995-03-16,99696,48,2077,1,25,1,1993-06-08
6694,8316,1995-03-19,134784,24,5616,0,70,1,1994-06-04
5599,3064,1995-03-21,15420,12,1285,0,40,1,1993-05-23
6546,7607,1995-03-27,31728,24,1322,0,1,1,1993-09-05
5414,2228,1995-03-29,185952,48,3874,0,34,1,1994-03-19
5453,2361,1995-04-01,156672,36,4352,0,28,1,1994-02-25
5740,3752,1995-04-02,18564,12,1547,0,1,1,1994-11-25
5804,4079,1995-04-05,158976,48,3312,0,52,1,1993-11-03
6745,8625,1995-04-10,47304,24,1971,0,64,1,1993-11-10
6950,9591,1995-04-11,104712,24,4363,0,74,1,1993-05-20
6996,9828,1995-04-13,126600,24,5275,0,11,1,1993-05-20
5352,1993,1995-04-15,68400,12,5700,1,68,1,1994-10-30
6151,5628,1995-04-25,225420,60,3757,0,61,1,1994-06-17
5310,1762,1995-04-28,248148,36,6893,0,28,1,1993-12-11
5045,347,1995-05-01,187224,24,7801,1,65,1,1993-12-13
6929,9472,1995-05-08,36396,12,3033,0,1,4,1993-07-06
5151,960,1995-05-24,189060,60,3151,0,4,12,1994-11-02
5212,1256,1995-05-29,71064,36,1974,0,38,1,1994-04-21
5138,854,1995-05-30,87216,48,1817,0,62,1,1993-09-21
5713,3629,1995-05-30,158760,60,2646,0,48,1,1993-07-27
6704,8377,1995-06-01,417060,60,6951,0,29,1,1993-11-20
6474,7190,1995-06-06,63360,60,1056,0,49,1,1993-09-06
6676,8159,1995-06-13,29784,24,1241,0,26,1,1995-02-08
6965,9656,1995-06-13,139536,24,5814,0,61,1,1993-11-14
6725,8489,1995-06-23,265320,36,7370,0,19,1,1993-09-18
7166,10630,1995-06-24,198240,24,8260,0,41,1,1995-01-15
7138,10440,1995-07-03,60000,60,1000,0,72,1,1993-09-13
5970,4774,1995-07-09,465072,48,9689,0,66,1,1994-01-14
6157,5650,1995-07-10,98592,24,4108,0,10,12,1995-01-08
6153,5632,1995-07-25,285600,60,4760,0,5,4,1994-11-15
5693,3489,1995-08-01,44088,24,1837,0,9,1,1994-12-08
5922,4580,1995-08-05,20220,12,1685,0,9,1,1994-08-27
5959,4727,1995-08-11,107640,24,4485,0,2,1,1995-02-13
5980,4825,1995-08-18,21396,12,1783,0,15,1,1994-06-04
6764,8776,1995-08-26,33984,48,708,0,64,1,1994-08-24
5237,1375,1995-08-29,45336,24,1889,0,19,1,1994-04-27
6726,8492,1995-09-03,85860,60,1431,0,2,1,1994-06-29
6933,9493,1995-09-09,188688,48,3931,0,64,1,1995-04-02
5145,915,1995-09-16,309552,48,6449,0,72,1,1995-01-18
7008,9897,1995-09-22,36168,12,3014,0,1,1,1995-03-04
7227,10942,1995-10-02,314520,60,5242,0,44,4,1994-06-05
6600,7861,1995-10-08,21852,36,607,0,34,1,1995-04-22
6712,8405,1995-10-14,266220,60,4437,0,20,1,1994-05-10
7057,10093,1995-10-20,231696,36,6436,0,1,4,1994-07-01
7176,10663,1995-10-28,260028,36,7223,0,11,1,1993-12-08
7304,11349,1995-10-29,419880,60,6998,0,1,4,1995-05-26
6362,6738,1995-10-31,37908,12,3159,0,62,1,1994-07-28
5880,4423,1995-10-31,73836,36,2051,0,39,1,1995-04-26
6535,7546,1995-11-02,41952,12,3496,0,43,1,1994-09-03
5449,2343,1995-11-04,99336,24,4139,0,68,1,1994-12-09
6342,6609,1995-11-12,60156,36,1671,1,16,1,1995-03-27
5409,2218,1995-11-18,182040,60,3034,0,19,1,1994-11-21
6955,9627,1995-11-22,244368,48,5091,0,65,12,1994-07-22
6985,9731,1995-11-22,113796,36,3161,0,54,12,1994-12-01
5125,789,1995-11-23,73056,48,1522,0,39,1,1995-02-06
5805,4081,1995-11-28,137904,24,5746,1,11,1,1995-07-22
6185,5774,1995-11-28,31176,24,1299,0,1,1,1995-06-08
7243,11042,1995-12-04,217152,36,6032,0,72,1,1995-01-29
6403,6924,1995-12-05,194880,48,4060,0,74,1,1994-06-01
6578,7765,1995-12-11,27984,12,2332,0,52,4,1994-07-10
5413,2227,1995-12-12,92976,24,3874,0,31,4,1994-05-22
6949,9583,1995-12-12,104712,24,4363,0,31,4,1994-05-22
6545,7606,1995-12-12,191880,60,3198,0,21,1,1995-03-15
6178,5742,1995-12-16,232560,48,4845,0,74,12,1995-07-05
5160,1011,1995-12-18,204000,60,3400,0,45,1,1994-12-17
6785,8899,1995-12-25,125340,60,2089,0,1,4,1994-09-05
6540,7562,1995-12-31,309600,48,6450,0,72,4,1995-01-17
6589,7815,1996-01-01,189696,24,7904,0,19,4,1995-04-09
5900,4503,1996-01-01,135360,48,2820,0,50,1,1995-01-03
5999,4907,1996-01-03,98832,48,2059,0,42,1,1994-02-06
6043,5126,1996-01-11,20352,48,424,0,58,1,1995-04-03
5482,2496,1996-01-12,165120,60,2752,0,51,1,1994-05-21
7263,11138,1996-01-19,89880,24,3745,0,70,4,1995-08-18
6013,4995,1996-02-03,128988,36,3583,1,20,4,1994-08-01
5750,3804,1996-02-08,63252,12,5271,0,7,1,1994-04-07
6027,5066,1996-02-10,61656,24,2569,1,13,4,1995-08-27
6303,6400,1996-02-12,72408,24,3017,1,31,12,1995-10-09
7213,10884,1996-02-13,113544,36,3154,0,65,1,1995-02-20
6659,8092,1996-02-20,56100,60,935,0,54,1,1995-01-11
6175,5735,1996-02-21,290700,60,4845,1,52,1,1995-01-25
5610,3112,1996-02-24,123216,48,2567,0,38,1,1994-08-12
5563,2912,1996-02-29,380160,60,6336,0,74,1,1994-07-30
5989,4852,1996-03-04,213300,36,5925,0,47,1,1995-04-13
6698,8327,1996-03-10,247728,48,5161,0,1,4,1995-08-08
5312,1772,1996-03-13,202788,36,5633,0,31,4,1995-02-20
7189,10728,1996-03-21,154656,48,3222,0,71,1,1994-12-23
6816,9017,1996-03-26,100224,48,2088,1,70,1,1995-11-22
6137,5574,1996-04-10,44628,12,3719,0,13,4,1994-07-14
5128,808,1996-04-11,215616,48,4492,1,69,1,1995-06-13
5470,2456,1996-04-15,200976,48,4187,0,65,1,1995-09-09
5593,3037,1996-04-18,277884,36,7719,1,44,1,1994-05-26
5350,1967,1996-04-21,249312,48,5194,0,26,4,1995-02-13
6063,5213,1996-04-25,320976,48,6687,1,1,1,1995-08-18
6501,7418,1996-04-29,30276,12,2523,1,21,1,1995-04-07
5452,2352,1996-04-29,49440,60,824,0,70,1,1995-01-21
4961,19,1996-04-29,30276,12,2523,1,21,1,1995-04-07
4973,67,1996-05-02,165960,24,6915,0,16,1,1994-10-19
6190,5794,1996-05-06,123600,60,2060,0,70,1,1995-07-14
6715,8411,1996-05-06,220620,60,3677,0,20,1,1994-12-02
5892,4462,1996-05-14,66480,24,2770,1,73,4,1995-12-27
6550,7614,1996-05-18,320592,48,6679,0,62,1,1995-02-08
5706,3608,1996-05-24,161496,36,4486,0,72,4,1994-08-30
5148,940,1996-05-29,284280,60,4738,0,37,1,1994-11-15
6734,8547,1996-05-30,173016,36,4806,0,14,4,1995-07-17
6109,5422,1996-06-03,368880,60,6148,0,66,1,1994-10-22
6961,9645,1996-06-06,176148,36,4893,0,38,1,1996-01-23
6810,9006,1996-06-08,186384,48,3883,0,40,4,1994-09-02
5494,2572,1996-06-13,360000,48,7500,0,64,12,1994-11-13
5311,1766,1996-06-15,30060,60,501,0,28,1,1994-09-03
5445,2322,1996-06-29,46320,24,1930,0,33,1,1995-01-02
5301,1698,1996-07-06,141948,36,3943,0,68,1,1996-03-14
7034,10001,1996-07-11,19044,36,529,0,24,1,1995-05-28
6751,8680,1996-07-14,85716,36,2381,0,17,1,1996-02-12
6667,8127,1996-07-15,155880,24,6495,0,37,1,1994-10-13
6130,5541,1996-07-18,32640,48,680,0,43,1,1995-03-24
5429,2268,1996-07-18,20196,36,561,0,1,1,1995-02-11
5725,3679,1996-07-23,444864,48,9268,0,64,1,1995-08-15
6019,5033,1996-07-25,11400,12,950,0,54,1,1995-08-03
6421,6985,1996-07-25,96768,36,2688,0,38,1,1995-07-27
6992,9790,1996-07-27,133968,48,2791,0,52,1,1995-11-09
5136,846,1996-07-28,187104,24,7796,0,72,1,1996-03-09
5337,1886,1996-07-31,162468,36,4513,0,32,1,1996-03-05
5495,2580,1996-08-02,89340,60,1489,0,60,1,1995-11-09
7013,9928,1996-08-02,89340,60,1489,0,60,1,1995-11-09
6012,4994,1996-08-03,258444,36,7179,0,1,4,1996-01-11
6471,7184,1996-08-04,155640,24,6485,0,5,1,1995-06-19
6296,6358,1996-08-06,270384,48,5633,0,3,1,1995-05-27
7305,11359,1996-08-06,54024,12,4502,0,61,1,1994-10-01
6144,5593,1996-08-09,44376,12,3698,0,15,1,1996-02-27
6283,6289,1996-08-11,85632,48,1784,0,64,1,1995-04-05
7246,11054,1996-08-20,148920,60,2482,0,59,4,1996-02-01
5088,544,1996-08-22,91152,24,3798,0,32,1,1995-05-15
5988,4851,1996-08-22,141648,24,5902,0,52,1,1996-02-04
5282,1583,1996-08-24,388512,48,8094,1,69,12,1994-11-17
5938,4650,1996-08-25,402000,60,6700,0,4,1,1995-10-15
5606,3084,1996-08-28,253512,36,7042,1,59,4,1996-01-28
5385,2143,1996-09-09,71460,36,1985,0,1,1,1996-01-13
6865,9199,1996-09-11,29448,12,2454,1,72,1,1996-05-15
5586,2994,1996-09-14,48744,36,1354,0,77,1,1996-05-03
6302,6397,1996-09-16,181020,60,3017,0,48,1,1995-03-15
7194,10762,1996-09-17,68832,36,1912,0,1,1,1995-10-23
6461,7136,1996-09-19,74124,36,2059,0,12,4,1995-04-09
6732,8533,1996-09-19,174048,48,3626,0,47,1,1995-10-10
6613,7926,1996-09-22,84120,24,3505,0,69,4,1996-06-09
7036,10019,1996-09-25,194940,36,5415,0,8,1,1995-06-15
5897,4476,1996-09-25,15192,24,633,0,24,1,1994-11-10
6995,9814,1996-09-26,96168,12,8014,0,64,4,1995-01-19
5415,2236,1996-09-26,139464,36,3874,1,73,1,1995-08-27
7136,10436,1996-09-28,54396,36,1511,0,60,1,1996-03-21
7271,11186,1996-10-02,392460,60,6541,0,12,1,1994-11-24
5375,2106,1996-10-03,101520,12,8460,0,1,1,1996-02-01
5635,3230,1996-10-04,77184,36,2144,0,1,1,1995-03-11
6817,9024,1996-10-04,70656,48,1472,0,1,1,1996-01-05
5923,4585,1996-10-10,64656,48,1347,0,27,1,1996-06-08
5329,1862,1996-10-16,396120,60,6602,0,19,4,1995-04-15
6644,8039,1996-10-20,93600,24,3900,0,9,1,1995-12-17
6354,6688,1996-10-23,22968,36,638,0,16,1,1996-06-25
5082,501,1996-10-24,262980,60,4383,0,13,1,1995-10-21
6585,7795,1996-10-29,372120,60,6202,0,64,1,1995-01-05
6921,9422,1996-10-29,86184,12,7182,0,70,1,1996-03-06
5366,2062,1996-10-29,86184,12,7182,0,70,1,1996-03-06
5886,4447,1996-10-31,192744,36,5354,0,62,1,1996-06-16
5741,3754,1996-11-03,68544,24,2856,0,37,4,1996-02-19
4996,132,1996-11-06,88440,12,7370,0,40,12,1996-05-11
6015,5001,1996-11-09,110112,24,4588,0,53,1,1995-12-15
6309,6434,1996-11-11,110136,24,4589,0,1,1,1995-05-08
6073,5263,1996-11-12,276300,60,4605,0,64,1,1995-07-14
6006,4948,1996-11-15,359760,60,5996,0,43,1,1995-07-29
5611,3115,1996-11-15,321180,60,5353,0,14,1,1996-03-27
6944,9548,1996-11-15,46176,48,962,0,62,1,1996-06-07
7101,10297,1996-11-18,421008,48,8771,0,14,1,1996-01-19
6599,7859,1996-11-19,72120,12,6010,0,52,1,1995-03-14
6940,9510,1996-11-22,228276,36,6341,0,1,1,1996-06-09
5209,1250,1996-11-25,182640,48,3805,0,62,1,1996-03-28
5388,2153,1996-11-28,61560,12,5130,0,31,4,1996-01-07
6011,4981,1996-11-28,179328,48,3736,0,54,1,1996-01-22
5591,3021,1996-12-04,155616,48,3242,0,10,1,1996-04-20
7154,10520,1996-12-05,417600,60,6960,0,55,12,1995-10-24
7130,10411,1996-12-11,123408,24,5142,0,39,12,1995-11-23
6818,9030,1996-12-12,155616,48,3242,0,72,1,1995-01-21
5625,3189,1996-12-15,222180,60,3703,1,29,1,1995-11-29
6805,8972,1996-12-21,45024,48,938,0,70,1,1996-05-21
7233,10963,1996-12-25,115812,36,3217,0,16,1,1995-05-20
7308,11362,1996-12-27,129408,24,5392,0,67,1,1995-10-14
