loan_id,account_id,loan_date,amount,duration,payments,status,district_id,frequency,account_date,index,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants,trans_date,last_balance,credits_mean,withdrawal_mean
6407,6930,1994-05-26,25944,24,1081,0,41,1,1993-09-08,40,0,1,0,1,118650,8,8,5,1,3,85.6,9832,4.48,114,1994-05-12,69398.9,12249.336842105264,9074.355555555558
5002,173,1994-05-31,104808,12,8734,0,66,1,1993-11-26,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102,1994-05-25,28015.4,9470.5,4757.2555555555555
6647,8051,1994-06-01,208320,48,4340,0,1,4,1993-02-07,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-05-31,44213.1,12819.854545454547,7286.0
7137,10439,1994-06-03,151560,24,6315,0,66,1,1993-11-21,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102,1994-06-01,21323.2,19058.40769230769,15095.746666666668
6903,9337,1994-06-04,52128,24,2172,0,30,1,1993-09-13,29,0,1,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,1994-05-31,58659.8,6244.838461538461,5771.993750000001
5918,4576,1994-06-04,300204,36,8339,0,27,1,1993-06-05,26,0,1,0,0,67298,71,19,10,0,7,43.8,8561,1.29,110,1994-05-31,33932.8,9277.392592592592,4921.745454545456
6642,8027,1994-06-05,77640,12,6470,0,44,4,1993-07-07,43,0,1,1,0,105606,77,26,7,2,7,53.0,8254,3.76,97,1994-06-02,30825.8,18776.677272727276,10059.5
6210,5927,1994-06-06,87216,48,1817,1,15,1,1993-11-26,14,0,0,1,1,58796,22,16,7,1,5,51.9,9045,3.6,124,1994-05-31,21579.1,3691.82380952381,4653.099999999999
6279,6273,1994-06-07,87360,24,3640,0,38,1,1993-07-21,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104,1994-05-31,29072.5,8544.574999999999,7689.657142857143
7249,11065,1994-06-12,69360,48,1445,0,11,1,1993-03-19,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154,1994-06-10,38665.0,6597.132258064516,3528.638297872341
6736,8558,1994-06-14,288360,60,4806,0,1,12,1994-02-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-05-31,43313.2,8081.299999999999,10600.0
6112,5442,1994-06-17,174744,24,7281,1,34,1,1993-03-22,33,0,1,0,1,125236,28,11,1,4,5,87.7,9675,7.68,100,1994-06-15,6930.8,11542.82894736842,5396.207499999999
5319,1811,1994-06-23,239460,60,3991,0,40,1,1993-09-22,39,0,1,0,1,128118,9,16,6,3,8,85.3,9317,7.07,97,1994-06-19,36240.6,13387.93888888889,7312.228571428573
6596,7844,1994-06-25,91584,24,3816,0,1,1,1993-11-26,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-06-24,49842.9,18390.37142857143,12213.070588235294
5837,4260,1994-06-29,244560,60,4076,0,56,1,1993-10-14,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126,1994-06-20,21326.1,12456.16111111111,8453.533333333335
5657,3354,1994-07-05,4980,12,415,0,63,1,1993-11-05,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110,1994-07-03,22500.3,5352.515789473684,2933.2370370370368
5533,2762,1994-07-05,111384,24,4641,0,19,1,1993-03-20,18,0,0,1,1,51428,50,11,3,1,4,52.7,8402,3.98,120,1994-07-02,52318.9,19164.749090909096,10327.2412371134
6232,6051,1994-07-08,276660,36,7685,1,56,1,1993-08-28,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126,1994-07-07,19783.2,3712.3666666666663,3270.9857142857145
6888,9265,1994-07-11,39576,12,3298,0,1,1,1993-02-04,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-07-05,23901.1,9203.384905660376,7481.906451612902
6066,5228,1994-07-11,173808,24,7242,0,77,12,1993-06-23,76,1,0,0,0,148545,8,35,12,3,4,53.5,8909,5.56,113,1994-07-05,94431.9,26907.22692307692,12350.122448979591
5549,2824,1994-07-16,50460,60,841,0,11,1,1993-10-20,10,0,0,1,0,75637,35,36,9,0,7,36.5,9622,0.59,154,1994-07-10,41531.0,8327.073684210525,4861.808333333334
5060,426,1994-07-19,252060,60,4201,1,1,1,1993-11-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-07-14,70096.5,14985.173076923076,9129.085714285715
6004,4937,1994-07-23,143904,24,5996,0,12,1,1993-02-20,11,0,0,1,0,107870,84,29,6,1,6,58.0,8754,4.31,137,1994-07-15,38336.2,14003.602127659575,6737.315217391302
5126,790,1994-07-24,208128,48,4336,1,54,1,1993-05-11,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140,1994-07-21,81474.6,11823.668965517241,7468.908571428573
7220,10911,1994-07-28,131292,36,3647,0,1,4,1993-05-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-07-23,31361.3,11868.186206896553,5792.888888888889
6668,8129,1994-07-30,74736,36,2076,0,45,1,1993-06-26,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132,1994-07-21,33243.7,11194.334615384618,6288.019512195123
5395,2176,1994-07-30,299088,36,8308,1,67,1,1993-06-06,66,1,0,0,0,106054,38,25,6,2,6,63.1,8110,6.55,109,1994-07-23,19448.5,17668.680434782607,9916.382499999996
6836,9093,1994-08-03,189300,60,3155,0,47,1,1993-06-16,46,0,1,1,0,162580,83,26,5,1,6,72.8,9538,1.81,111,1994-07-31,24471.4,6502.74761904762,4142.723333333334
6064,5215,1994-08-04,14628,12,1219,0,55,1,1993-07-01,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111,1994-07-31,34902.8,7799.868965517242,2620.457534246576
6919,9403,1994-08-05,120888,36,3358,0,1,4,1993-03-27,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-08-04,52014.4,13123.877777777778,7007.416666666667
6841,9104,1994-08-07,172080,48,3585,0,10,1,1994-01-21,9,0,0,1,0,92084,55,29,4,3,5,46.7,10124,0.54,141,1994-07-31,58224.0,10713.956,12331.729411764707
6038,5120,1994-08-10,323472,48,6739,0,1,1,1993-06-21,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-07-31,69179.8,13879.189285714285,11015.089655172413
6729,8519,1994-08-11,74688,12,6224,0,23,1,1993-04-02,22,0,1,0,0,87419,21,11,4,3,9,85.5,8624,2.66,102,1994-08-06,28933.3,13496.946938775513,10038.368253968252
7198,10788,1994-08-23,45768,12,3814,0,67,4,1993-11-22,66,1,0,0,0,106054,38,25,6,2,6,63.1,8110,6.55,109,1994-08-19,54427.5,4701.254545454545,9800.0
6686,8260,1994-08-25,224604,36,6239,0,31,1,1993-03-24,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108,1994-08-16,40287.4,20475.04411764706,11116.342372881352
5836,4259,1994-08-27,79632,24,3318,0,66,1,1994-04-08,65,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102,1994-08-13,89746.5,24446.25,25786.0
7061,10105,1994-08-27,121896,24,5079,0,55,1,1993-04-28,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111,1994-08-21,41917.2,16312.041025641029,11004.674074074072
5595,3050,1994-09-02,82896,12,6908,0,60,1,1993-05-08,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115,1994-08-31,64286.0,20655.87058823529,7111.017391304345
5723,3674,1994-09-10,23628,12,1969,0,38,1,1993-03-12,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104,1994-09-03,64096.3,11783.88163265306,8414.98032786885
6120,5481,1994-09-11,209184,48,4358,0,52,1,1993-08-16,51,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108,1994-09-10,44254.7,19731.79230769231,11161.233333333332
6895,9307,1994-09-19,41904,12,3492,0,68,1,1993-01-24,67,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96,1994-09-16,39204.7,7938.838095238093,5761.774999999998
5882,4427,1994-09-26,87816,12,7318,0,32,1,1993-06-07,31,0,1,0,1,105058,32,19,7,2,10,81.0,9272,3.22,118,1994-09-25,15665.6,4840.648780487804,4251.186046511629
5754,3834,1994-09-28,23052,12,1921,0,54,1,1993-01-19,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140,1994-09-15,28531.7,6742.349999999999,2399.1951219512193
6594,7824,1994-09-28,189696,24,7904,1,60,1,1994-05-17,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115,1994-09-14,22500.0,4500.0,0.0
6738,8566,1994-09-29,230220,36,6395,1,74,1,1993-10-08,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1994-09-07,6325.5,7839.626315789475,6626.820454545454
6624,7965,1994-09-30,71460,12,5955,0,55,1,1993-11-08,54,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111,1994-09-23,82549.0,13133.975,8085.147826086957
6216,5952,1994-09-30,141240,24,5885,0,50,1,1993-09-07,49,0,1,1,0,102609,75,33,2,3,6,52.0,8187,5.45,94,1994-09-22,45871.6,18498.09259259259,6047.6906666666655
6229,6040,1994-10-02,11736,24,489,0,1,1,1993-04-22,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-10-01,26984.4,11518.78888888889,3996.8226804123706
5887,4448,1994-10-03,192744,36,5354,0,60,1,1993-06-02,59,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115,1994-09-30,29033.7,9241.760606060605,6417.6511627906975
6808,8982,1994-10-12,227880,36,6330,0,64,1,1993-09-25,63,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145,1994-10-09,53716.6,8119.22888888889,8201.27894736842
6297,6363,1994-10-25,17508,12,1459,0,74,1,1993-08-01,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1994-10-21,48027.0,6398.487096774194,3666.4878048780497
5161,1012,1994-10-28,98184,24,4091,0,65,1,1994-07-09,64,0,1,1,1,114200,101,41,4,1,4,43.7,8403,5.72,105,1994-10-10,68956.1,9059.654545454545,10233.333333333334
5390,2167,1994-10-30,170256,24,7094,0,16,1,1993-08-08,15,0,0,1,1,93931,74,21,10,1,8,56.9,8427,1.54,107,1994-10-27,43302.8,11986.912903225808,7136.769565217392
6150,5622,1994-11-02,83016,12,6918,0,70,1,1993-02-08,69,1,0,0,0,285387,0,2,8,5,7,89.9,10177,7.75,81,1994-10-31,93605.6,20124.317910447757,9929.641860465115
6223,5991,1994-11-03,61056,48,1272,0,1,1,1993-11-21,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-10-31,33539.9,8584.586956521738,3998.053658536586
5032,290,1994-11-03,123696,48,2577,0,56,1,1993-12-02,55,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126,1994-10-31,25201.8,12984.854545454546,6678.964102564103
6253,6148,1994-11-04,59760,24,2490,0,74,1,1993-12-27,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1994-10-31,41147.7,11115.263636363636,6356.331250000001
6460,7133,1994-11-06,48672,36,1352,0,1,1,1993-09-17,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-10-31,23124.6,2590.1029411764707,1031.006349206349
6645,8041,1994-11-06,140400,36,3900,0,1,1,1993-10-10,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-11-04,28271.8,11883.85,10137.956521739132
5176,1106,1994-11-12,192552,24,8023,1,20,4,1993-08-29,19,0,0,1,1,70646,94,14,3,1,4,58.4,8547,3.64,120,1994-10-31,22255.5,6090.784615384614,5445.4
5269,1527,1994-11-19,164052,36,4557,1,31,12,1993-11-17,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108,1994-11-12,20811.2,14078.810714285715,10091.767567567567
5351,1978,1994-12-04,205200,36,5700,0,57,4,1993-06-11,56,0,1,1,1,161954,21,37,20,3,8,48.0,8720,4.5,116,1994-12-03,54586.0,17320.669444444447,6117.8279569892475
5861,4337,1994-12-08,51408,24,2142,0,29,1,1993-11-16,28,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113,1994-11-30,49213.4,14636.958064516128,12258.993939393937
5450,2345,1994-12-11,199680,60,3328,0,5,1,1993-10-25,4,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118,1994-11-30,19924.0,10072.949999999999,5698.2260869565225
7142,10451,1994-12-19,482940,60,8049,1,1,1,1993-08-29,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-12-13,18439.4,4877.926785714286,3442.224324324325
6306,6425,1994-12-20,36684,12,3057,0,31,1,1993-03-29,30,0,1,0,0,51313,34,12,3,1,4,59.2,8930,4.2,108,1994-12-19,35093.0,6311.736,3739.914666666668
6272,6226,1994-12-20,398640,60,6644,0,74,4,1993-07-26,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1994-12-18,59316.9,21806.935294117644,13117.673076923076
5044,344,1994-12-21,100980,60,1683,0,54,1,1993-12-01,53,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140,1994-12-10,47137.7,7692.799999999999,3734.134883720931
5576,2962,1994-12-21,31248,12,2604,0,1,1,1993-05-30,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-12-20,53922.3,16817.427450980394,11648.785507246375
7192,10738,1994-12-21,115992,36,3222,0,45,4,1993-04-17,44,0,1,1,0,77917,85,19,6,1,5,53.5,8390,2.89,132,1994-12-10,17711.5,8683.641304347828,4812.074074074074
5739,3747,1995-01-02,76380,12,6365,0,1,1,1994-05-01,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1994-12-31,23171.2,4596.959999999999,2751.296
6526,7523,1995-01-03,288468,36,8013,0,63,1,1994-08-29,62,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110,1994-12-31,48840.6,6845.750000000001,15666.666666666666
5624,3166,1995-01-03,177744,48,3703,1,71,1,1993-08-10,70,1,0,0,0,161227,5,35,11,4,10,69.7,8678,5.57,102,1995-01-02,14230.7,9073.402777777777,5295.1169491525425
6244,6118,1995-01-08,270648,36,7518,1,1,4,1994-03-07,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1995-01-01,50996.5,13666.849999999999,12250.277777777777
5131,816,1995-01-08,48624,24,2026,0,52,1,1993-08-05,51,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108,1995-01-07,47993.6,15032.102040816324,10126.164705882351
6960,9640,1995-01-11,76416,24,3184,0,1,1,1993-03-13,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1995-01-10,12262.9,8867.943859649122,5137.602083333331
6358,6715,1995-01-14,137880,60,2298,1,48,4,1993-09-15,47,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124,1995-01-10,19966.8,7317.181578947369,5060.509803921569
5418,2245,1995-01-16,347952,48,7249,0,29,1,1993-03-30,28,0,1,0,0,45714,52,10,5,1,6,55.6,8843,3.6,113,1995-01-13,57546.3,16705.18,11110.17714285714
6598,7857,1995-01-18,68112,12,5676,0,75,1,1993-08-04,74,1,0,0,0,138032,67,30,4,2,5,64.6,8819,5.66,99,1995-01-15,39416.1,20195.84054054054,6434.8163636363615
5464,2419,1995-01-30,95808,12,7984,0,24,1,1993-11-27,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128,1995-01-29,72500.4,18972.2875,13727.819999999998
6591,7819,1995-02-02,20832,48,434,0,38,1,1993-08-01,37,0,1,0,1,85852,41,23,4,2,4,59.8,8965,8.23,104,1995-01-31,17872.5,4204.593617021276,1728.3019230769237
5724,3678,1995-02-05,316140,60,5269,1,1,1,1993-03-24,0,0,0,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,1995-01-31,12811.8,4591.911666666667,3325.3518987341777
6315,6472,1995-02-06,43164,12,3597,0,61,1,1994-02-08,60,0,1,1,1,117897,139,28,5,1,6,53.8,8814,5.74,107,1995-02-03,31349.9,19429.611538461537,11019.065116279067
5876,4413,1995-02-08,221280,48,4610,0,74,4,1994-01-15,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1995-01-31,31344.7,17512.224,8836.760869565218
6986,9750,1995-02-11,151728,48,3161,1,74,1,1994-05-16,73,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100,1995-02-10,26488.7,8910.703571428572,7690.041379310345
6294,6353,1995-02-12,79920,60,1332,0,26,1,1993-11-26,25,0,1,0,0,170449,0,0,0,1,1,100.0,10787,3.09,131,1995-02-10,31271.6,13163.365517241378,5310.090909090909
5132,817,1995-02-17,538500,60,8975,0,5,1,1994-03-18,4,0,0,1,0,95616,65,30,4,1,6,51.4,9307,4.43,118,1995-02-14,23271.0,11733.345454545457,6523.961111111112
5877,4414,1995-02-23,97224,24,4051,0,24,1,1993-09-10,23,0,1,0,0,122603,25,21,6,2,8,80.0,8991,2.01,128,1995-02-17,19479.6,5482.852380952382,3011.431428571429
