district_id,region_0,region_1,region_2,region_3,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant_rate,no. of enterpreneurs per 1000 inhabitants
47,0,1,1,0,162580,83,26,5,1,6,72.8,9538,1.81,111
48,0,1,1,0,78955,50,24,8,1,9,59.0,9060,2.44,124
49,0,1,1,0,75685,31,28,5,1,9,60.8,8208,2.26,155
50,0,1,1,0,102609,75,33,2,3,6,52.0,8187,5.45,94
51,0,1,1,0,121947,37,28,7,3,11,70.5,8541,2.97,131
52,0,1,1,0,139012,59,41,8,3,10,61.9,8363,3.49,108
53,0,1,1,1,107911,88,33,6,2,7,50.9,8240,3.56,99
54,0,1,1,1,387570,0,0,0,1,1,100.0,9897,1.96,140
55,0,1,1,1,157042,49,70,18,0,9,33.9,8743,2.43,111
56,0,1,1,1,124605,11,42,14,1,8,46.0,8772,4.98,126
57,0,1,1,1,161954,21,37,20,3,8,48.0,8720,4.5,116
58,0,1,1,1,109164,98,16,6,1,4,63.6,8757,3.95,96
59,0,1,1,1,108871,41,29,7,2,6,62.1,8444,3.47,106
60,0,1,1,1,110643,49,41,4,1,4,51.9,8441,4.48,115
61,0,1,1,1,117897,139,28,5,1,6,53.8,8814,5.74,107
62,0,1,1,1,145688,22,41,13,2,5,40.7,8544,1.86,109
63,0,1,1,1,86513,38,36,5,1,5,50.5,8288,4.52,110
64,0,1,1,1,197099,29,41,10,2,10,74.7,9624,2.31,145
65,0,1,1,1,114200,101,41,4,1,4,43.7,8403,5.72,105
66,0,1,1,1,125832,151,41,2,3,5,48.3,8512,4.12,102
67,1,0,0,0,106054,38,25,6,2,6,63.1,8110,6.55,109
68,1,0,0,0,228848,15,40,18,2,6,57.2,9893,4.72,96
69,1,0,0,0,42821,4,13,5,1,3,48.4,8173,7.01,124
70,1,0,0,0,285387,0,2,8,5,7,89.9,10177,7.75,81
71,1,0,0,0,161227,5,35,11,4,10,69.7,8678,5.57,102
72,1,0,0,0,226122,32,50,7,4,4,62.6,8994,4.79,110
73,1,0,0,0,182027,17,49,12,2,7,56.4,8746,3.74,90
74,1,0,0,0,323870,0,0,0,1,1,100.0,10673,5.44,100
75,1,0,0,0,138032,67,30,4,2,5,64.6,8819,5.66,99
76,1,0,0,0,127369,31,32,13,2,7,51.2,8369,5.88,107
77,1,0,0,0,148545,8,35,12,3,4,53.5,8909,5.56,113
